CH 1,CH 2,CH 3,CH 4,CH 5,CH 6,CH 7,CH 8,CH 9,CH 10,IGCH,Burial Date c.,From,To,From date,To date
,,,,,,,8.439,,,,150 BC,150,150,-150,-150
,,,,,,,8.440,,,,150 BC,150,150,-150,-150
,,,,,,,8.444,,,,c. 150 BC ,160,140,-160,-140
,,,,,,,8.445,,,,150 B.C. c.,150,150,-150,-150
,,,,,,,8.446,,,,150 - 140 BC,150,140,-150,-140
,,,,,,,8.447,,,,150 - 100 BC,150,100,-150,-100
,,,,,,,8.451,,,,150 - 100 B.C.,150,100,-150,-100
,,,,,,,8.452,,,,150,150,150,-150,-150
,,,,,,,8.459,,,,145 B.C. c.,145,145,-145,-145
,,,,,,,8.461,,,,140 BC,140,140,-140,-140
,,,,,,,8.466,,,,130 - 110 BC ? late 2nd cent.,130,110,-130,-110
,,,,,,,8.471,,,,120 BC,120,120,-120,-120
,,,,,,,8.476,,,,"118 BC, after",119,100,-119,-100
,,,,,,,8.478,,,,110 BC,110,110,-110,-110
,,,,,,,8.481,,,,100 BC,100,100,-100,-100
,,,,,,,8.482,,,,100 BC,100,100,-100,-100
,,,,,,,8.484,,,,100 BC,100,100,-100,-100
,,,,,,,8.485,,,,100 BC?,100,100,-100,-100
,,,,,,,8.495,,,,100 - 75,100,75,-100,-75
,,,,,,,8.498,,,,100 - 1 BC,100,1,-100,-1
,,,,,,,8.503,,,,100 - 1 BC,100,1,-100,-1
,,,,,,,8.505,,,,095 BC,95,95,-95,-95
,,,,,,,8.508,,,,90 -80,90,80,-90,-80
,,,,,,,8.513,,,,080 B.C. c.,80,80,-80,-80
,,,,,,,8.516,,,,080 B.C. c.,80,80,-80,-80
,,,,,,,8.519,,,,75 BC,75,75,-75,-75
,,,,,,,8.520,,,,075 B.C. c.,75,75,-75,-75
,,,,,,,8.521,,,,075 - 50 BC,75,50,-75,-50
,,,,,,,8.524,,,,070 B.C. c.,70,70,-70,-70
,,,,,,,8.525,,,,065 BC,65,65,-65,-65
,,,,,,,8.526,,,,65,65,65,-65,-65
,,,,,,,8.528,,,,060 - 40 B.C.,60,40,-60,-40
,,,,,,,8.534,,,,50 BC,50,50,-50,-50
,,,,,,,8.537,,,,48,48,48,-48,-48
,,,,,,,8.539,,,,045 BC,45,45,-45,-45
,,,,,,,8.542,,,,031 BC,31,31,-31,-31
,,,,,,,8.544,,,,30 - 20 BC,30,20,-30,-20
,,,,,,,8.561,,,856,,,,0,0
,,,,,,,8.576,,,,277-275 BC,277,275,-277,-275
,,,,,,,8.577,,,,275-270 BC,275,270,-275,-270
,,,,,,,8.578,,,,c. 270 BC,270,270,-270,-270
,,,,,,,8.595,,,1423,275 - 270 BC,275,270,-275,-270
,,,,,,,8.599,,,,500-400,500,400,-500,-400
,,,,,,,,9.020,,32,400-370 BC,400,370,-400,-370
,,,,,,,,9.021,,,4th cent. BC,400,300,-400,-300
