Name,Discovery Date Start,Discovery Date End,Discovery Date Uncertain,Burial Date Start,Burial Date End,CH 1,CH 2,CH 3,CH 4,CH 5,CH 6,CH 7,CH 8,CH 9,CH 10,IGCH,Place Name,GML-compliant Coordinates,Canonical Geonames URI,Pleiades URI,Pleiades label,Nomisma URI,Geonames Feature Code Cat,Geonames Feature Code,AAT URI,AAT Label,findspot_uncertain,fromDate,fromDate_uncertain,fromDate_approximate,toDate,toDate_uncertain,toDate_approximate,IGCH lat,IGCH long,place,IGCH_region,Period
Sarnakounk,1945,1945,,-31,-31,1.105,,,,,,,,,,1746,Sarrnakunk’ (Armenia),"45.88348,39.65008",https://sws.geonames.org/174788/,,,,populated place,,,,,1945,,,,,,,,,East,http://nomisma.org/id/hellenistic_greece
North Coast of Turkey,1973,1973,,-99,-1,1.107,,,,,,,,,,,Pontus,,https://sws.geonames.org/12148993/,https://pleiades.stoa.org/places/857287,Pontus,http://nomisma.org/id/greek_northern_asia_minor,historical region,,,,,1973,,,,,,,,,Asia_Minor_north,http://nomisma.org/id/hellenistic_greece
Southern Asia Minor,1972,1972,,-99,-1,1.108,,,,,,,,,,,Anatolia,,https://sws.geonames.org/323835/,https://pleiades.stoa.org/places/837,Asia Minor,http://nomisma.org/id/greek_southern_asia_minor,region,,,,,1972,,,,,,,,,Asia_Minor_south,http://nomisma.org/id/hellenistic_greece
Burdur,1968,1968,,-30,-30,1.109,,,,,,,,,,1420,Burdur (Türkiye),"30.29083,37.72028",https://sws.geonames.org/320392/,https://pleiades.stoa.org/places/639060,Pisidia (region),,seat of a first-order administrative division,,,,,1968,,,,,,,,,Asia_Minor_central,http://nomisma.org/id/hellenistic_greece
Western Thrace,,,,-500,-480,,2.001,,,,,,,,,,Thrace,,https://sws.geonames.org/738770/,https://pleiades.stoa.org/places/1001889,Thrake,,historical region,,,,,,,,,,,,,,Thrace_Euxine,http://nomisma.org/id/archaic_greece
"Mylasa, Caria, Asia Minor",1968,1969,,-300,-300,,2.002,,,,,,,,,"1289, 1290",Milas (Türkiye),"27.78389,37.31639",https://sws.geonames.org/304355/,https://pleiades.stoa.org/places/599809,Mylasa,,seat of a second-order administrative division,,,,,1968,,,1969,,,,,,Asia_Minor_west,http://nomisma.org/id/hellenistic_greece
Unknown Findspot,,,,,,,2.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sveti-Blas, Burgas, Bulgaria",1948,1948,,-550,-500,,2.007,,,,,,,,,689,Saint Vlas (Bulgaria),"27.75867,42.7136",https://sws.geonames.org/725816/,,,,populated place,,,,,1948,,,,,,,,,Thrace_Euxine,http://nomisma.org/id/archaic_greece
Egypt,1971,1972,,-500,-500,,2.010,,,,,,,,,,Egypt,,https://sws.geonames.org/357994/,https://pleiades.stoa.org/places/981503,Ancient Egypt (region),,independent political entity,,,,,1971,,,1972,,,,,,Egypt,http://nomisma.org/id/archaic_greece
"Cal dag, Sardes Turkey",1945,1945,,-500,-490,,2.011,,,,,,,,,1178,Sardis (Türkiye),"28.04041,38.48856",https://sws.geonames.org/9986360/,https://pleiades.stoa.org/places/550867,Sardis/Hyde?,,archaeological/prehistoric site,,,,,1945,,,,,,,,,Asia_Minor_west,http://nomisma.org/id/archaic_greece
"Cesme, Smyrna, Turkey",1960,1960,,-86,-86,,2.110,,,,,,,,,1359,Erythrae (Türkiye),"26.48333,38.36667",https://sws.geonames.org/315376/,https://pleiades.stoa.org/places/550535,Erythrai,,archaeological/prehistoric site,,,,,1960,,,,,,,,,Asia_Minor_west,http://nomisma.org/id/hellenistic_greece
Turkey,,,,-499,-400,,2.021,,,,,,,,,,Türkiye,,https://sws.geonames.org/298795/,https://pleiades.stoa.org/places/837,Asia Minor,,independent political entity,,,,,,,,,,,,,,Asia_Minor_uncertain,http://nomisma.org/id/classical_greece
Asia Minor,1975,1975,,-450,-425,,2.026,,,,,,,,,,Anatolia,,https://sws.geonames.org/323835/,https://pleiades.stoa.org/places/837,Asia Minor,,region,,,,,1975,,,,,,,,,Asia_Minor_uncertain,http://nomisma.org/id/classical_greece
Lycia,1970,1970,,-440,-430,,2.027,,,,,,,,,,Lycie,,https://sws.geonames.org/8261119/,https://pleiades.stoa.org/places/638965,Lycia,,historical region,,,,,1970,,,,,,,,,Asia_Minor_south,http://nomisma.org/id/classical_greece
Asia Minor,1975,1975,,-400,-400,,2.032,,,,,,,,,,Anatolia,,https://sws.geonames.org/323835/,https://pleiades.stoa.org/places/837,Asia Minor,,region,,,,,1975,,,,,,,,,Asia_Minor_uncertain,http://nomisma.org/id/classical_greece
"Cilicia, Turkey",1966,1966,,-375,-375,,2.036,,,,,,,,,,Cilicie,,https://sws.geonames.org/8261117/,https://pleiades.stoa.org/places/658440,Cilicia,,historical region,,,,,1966,,,,,,,,,Asia_Minor_south,http://nomisma.org/id/classical_greece
Asia Minor,1974,1974,,-399,-300,,2.038,,,,,,,,,,Anatolia,,https://sws.geonames.org/323835/,https://pleiades.stoa.org/places/837,Asia Minor,,region,,,,,1974,,,,,,,,,Asia_Minor_uncertain,http://nomisma.org/id/classical_greece
