"value","uri","type"
"mesma","http://nomisma.org/id/mesma","mint"
"messana","http://nomisma.org/id/messana","mint"
"messene","http://nomisma.org/id/messene","mint"
"metapontum","http://nomisma.org/id/metapontum","mint"
"methana","http://nomisma.org/id/methana","mint"
"methyma","",""
"methymna","http://nomisma.org/id/methymna","mint"
"metropolis","",""
"metropolis_acarnania","http://nomisma.org/id/metropolis_acarnania","mint"
"metropolis_thessaly","http://nomisma.org/id/metropolis_thessaly","mint"
"miletus","http://nomisma.org/id/miletus","mint"
"moda","http://nomisma.org/id/moda","mint"
"molossi","http://nomisma.org/id/molossi","mint"
"mopsuestia","http://nomisma.org/id/mopsuestia","mint"
"motya","http://nomisma.org/id/motya","mint"
"mylasa","http://nomisma.org/id/mylasa","mint"
"myndus","http://nomisma.org/id/myndus","mint"
"myriandrus","http://nomisma.org/id/myriandrus","mint"
"myrina_aeolis","http://nomisma.org/id/myrina_aeolis","mint"
"mytilene","http://nomisma.org/id/mytilene","mint"
"mytistratus","http://nomisma.org/id/mytistratus","mint"
"nagidus","http://nomisma.org/id/nagidus","mint"
"natunia","http://nomisma.org/id/natunia","mint"
"naxos","http://nomisma.org/id/naxos","mint"
"naxus","http://nomisma.org/id/naxus","mint"
"neandria","http://nomisma.org/id/neandria","mint"
"neaplois_campania","",""
"neapolis_campania","http://nomisma.org/id/neapolis_campania","mint"
"neapolis_macedon","http://nomisma.org/id/neapolis_macedon","mint"
"nesos","http://nomisma.org/id/nesos","mint"
"niniveh","",""
"nisibis","http://nomisma.org/id/nisibis","mint"
"nisyros","http://nomisma.org/id/nisyros","mint"
"nola","http://nomisma.org/id/nola","mint"
"nuceria","http://nomisma.org/id/nuceria","mint"
"numidia","http://nomisma.org/id/numidia","head_1911_region"
"nymphaeum","http://nomisma.org/id/nymphaeum","mint"
"nysa","http://nomisma.org/id/nysa","mint"
"odessus","http://nomisma.org/id/odessus","mint"
"oeniadae","http://nomisma.org/id/oeniadae","mint"
"oenoe","http://nomisma.org/id/oenoe","mint"
"oeta","http://nomisma.org/id/oeta","mint"
"oetaei","",""
"olbia","http://nomisma.org/id/olbia","mint"
"olynthus","http://nomisma.org/id/olynthus","mint"
"ophrynium","http://nomisma.org/id/ophrynium","mint"
"orchomenus_boeotia","http://nomisma.org/id/orchomenus_boeotia","mint"
"oricus","http://nomisma.org/id/oricus","mint"
"orrescii","http://nomisma.org/id/orrescii","mint"
"orthe","http://nomisma.org/id/orthe","mint"
"paestum","http://nomisma.org/id/paestum","mint"
"pamphylia","http://nomisma.org/id/pamphylia","head_1911_region"
"pandosia_bruttium","http://nomisma.org/id/pandosia_bruttium","mint"
"panormus","http://nomisma.org/id/panormus","mint"
"panticapaeum","http://nomisma.org/id/panticapaeum","mint"
