internID,sub_instance,instance,alternative_names,fields_of_numismatics,cat_i,cat_ii,cat_iii,cat_iv,cat_v,cat_vi,related,german,french,nlp_link
441,,fides militaris,fides militum,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/FidesMilitaris_person
420,,Fortuna,"fortuna felix,fortuna victrix",from_ocre,Female,Deity,Roman,Other,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Fortuna_person
459,,Gallia,,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Gallia_person
618,,Ganymed,,from_cnt,Male,MythologicalFigure,Greek,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/ganymed_person
198,,genius,58396,"from_cnt,from_it",Male,MythologicalFigure,Roman,Other,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58396
493,,Genius Exercitus,,from_ocre,Male,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/GeniusExercitus_person
457,,Genius Populi Romani,genius of the roman people,from_ocre,Male,Deity,Roman,Personification,,,Genius,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/GeniusPopuliRomani_person
468,,Germania,,from_ocre,Female,Deity,Roman,Personification,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Germania_person
311,,Gorgo,gorgone,from_cnt,Female,MythologicalFigure,Greek-Roman,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/gorgo_person
15,,graces,charites,from_it,Female,Deity,,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/graces_NEW
73,,Hades,hades-serapis,"from_cnt,from_it",Male,Deity,Greek,Underworld,Olympic,,Pluto,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/59809
74,,Harpokrates,harpocrates,"from_cnt,from_it",Male,Deity,,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/harpocrates_person
14,,Hebe,ganymeda,from_it,Female,Deity,,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/hebe_NEW
84,,Hebros,hebrus,"from_cnt,from_it",Male,Deity,Greek,RiverGod,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/hebros_person
626,,Hecate,hekate,from_cnt,Female,Deity,Greek,Other,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Hecate_person
75,,Helios,,"from_cnt,from_it",Male,Deity,Greek,Other,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58616
317,,Hephaestos,hephaistus,from_cnt,Male,Deity,Greek,Olympic,,,Vulcanus,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58623
76,,Hephaistos,,from_it,Male,Deity,,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/hephaistos_NEW
16,,Hera,,"from_cnt,from_it",Female,Deity,Greek,Olympic,,,Juno,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58624
sub44,Hera Samia,Hera,,,Female,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58624
99,,Heracles,"herakles,hercules","from_cnt,from_it",Male,Hero,Greek-Roman,,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58628
sub102,Heracles Kynagidas,Heracles,,,Male,Hero,Greek-Roman,,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58628
sub103,Heracles Patroos,Heracles,,,Male,Hero,Greek-Roman,,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58628
77,,Hermes,,"from_cnt,from_it",Male,Deity,Greek,Olympic,,,Mercury,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58637
sub73,Hermes Imbramos,Hermes,,,Male,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58637
sub74,Hermes Kriophoros,Hermes,,,Male,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58637
sub75,Hermes Perpheraios,Hermes,,,Male,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58637
sub76,Hermes Promachos,Hermes,,,Male,Deity,Greek,Olympic,,,,,,https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58637
631,,Herophile,,from_cnt,Female,MythologicalFigure,Greek,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/Herophile_person
410,,heros,,from_cnt,Male,Hero,,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/heros_person
59,,Hesperides,,from_it,Female,MythologicalFigure,,,,,,,,http://www.dbis.cs.uni-frankfurt.de/cnt/id/hesperides_NEW
