ID,Title,URI,Findspot
179427,Denarius with head of Augustus,http://numismatics.org/ocre/id/ric.1(2).aug.173A,
179538,Quinarius with head of Augustus,http://numismatics.org/ocre/id/ric.1(2).aug.276,
180108,Antoninianus with head of Gallienus,http://numismatics.org/ocre/id/ric.5.gall(2).473,
162105,As with head of Nero,http://numismatics.org/ocre/id/ric.1(2).ner.306,
162443,"Denarius with bust of Julia Soaemias, struck under Elagabalus",http://numismatics.org/ocre/id/ric.4.el.241,
181064,"Denarius with bust of Geta, struck under Septimius Severus",http://numismatics.org/ocre/id/ric.4.ge.61A,
181067,Follis (?) with head of Maximinus II Daia,http://numismatics.org/ocre/id/ric.6.nic.66c,
181565,Antoninianus with bust of Valerian I,http://numismatics.org/ocre/id/ric.5.gall(1).285,
181645,Denarius with bust of Trajan,http://numismatics.org/ocre/id/ric.2.tr.293,
161986,"Denarius with head of Pietas, struck under M. Herennius",http://numismatics.org/crro/id/rrc-308.1b,
200979,Didrachm with head of Mars,http://numismatics.org/crro/id/rrc-13.1,
200980,Denarius with head of Augustus,http://numismatics.org/ocre/id/ric.1(2).aug.178A,
162048,"Denarius with galley, struck under Marc Antony",http://numismatics.org/crro/id/rrc-544.15,
230076,"Denarius with janiform head of Dioscuri, struck under C. Fonteius",http://numismatics.org/crro/id/rrc-290.1,
161987,"Denarius with head of Roma, struck under C. Caecilius Metellus Caprarius",http://numismatics.org/crro/id/rrc-269.1,
161989,"Denarius with bust of Diana, struck under Ti. Claudius Nero",http://numismatics.org/crro/id/rrc-383.1,
161990,"Denarius with head of Mars, struck under Cn. Blasio",http://numismatics.org/crro/id/rrc-296.1e,
161991,"Denarius with head of Roma, struck under L. Pomponius and Cn. Domitius Ahenobarbus",http://numismatics.org/crro/id/rrc-282.4,
230080,"Denarius with head of Roma, struck under Q. Fabius Maximus",http://numismatics.org/crro/id/rrc-265.1,
161992,"Denarius with head of Apollo, struck under Mn. Fonteius",http://numismatics.org/crro/id/rrc-353.1a,
161993,"Denarius with head of Roma, struck under P. Satrienus",http://numismatics.org/crro/id/rrc-388.1b,
161994,"Denarius with head of Cybele, struck under A. Plautius",http://numismatics.org/crro/id/rrc-431.1,
161995,"Denarius with head of Jupiter, struck under L. Rubrius Dossenus",http://numismatics.org/crro/id/rrc-348.1,
161996,"Denarius with bust of Roma, struck under P. Licinius Nerva",http://numismatics.org/crro/id/rrc-292.1,
229374,As with head of Lucius Verus,http://numismatics.org/ocre/id/ric.3.m_aur.1288,
229384,Sestertius with bust of Gordian III,http://numismatics.org/ocre/id/ric.4.gor_iii.330,
229387,Dupondius with head of Nero,http://numismatics.org/ocre/id/ric.1(2).ner.306,
229390,Denarius with head of Trajan,http://numismatics.org/ocre/id/ric.2.tr.60,
226863,As with bust of Aurelian,http://numismatics.org/ocre/id/ric.5.aur.80,
226865,Antoninianus with bust of Trajan II Decius,http://numismatics.org/ocre/id/ric.4.tr_d.12B,
226866,As with bust of Trajan II Decius,http://numismatics.org/ocre/id/ric.4.tr_d.120,
226874,Antoninianus with bust of Carus,http://numismatics.org/ocre/id/ric.5.car.73,
226875,Follis with head of Maxentius,http://numismatics.org/ocre/id/ric.6.ost.35,
226879,Antoninianus with bust of Gallienus,http://numismatics.org/ocre/id/ric.5.gall(1).18,
226794,Denarius with head of Domitian,http://numismatics.org/ocre/id/ric.2_1(2).dom.740,
162173,Denarius with head of Domitian,http://numismatics.org/ocre/id/ric.2_1(2).dom.670,
226796,As with bust of Trajan,http://numismatics.org/ocre/id/ric.2.tr.681,
226798,"Antoninianus with bust of Salonina, struck under Valerian I and Gallienus",http://numismatics.org/ocre/id/ric.5.sala(1).57,
162514,Antoninianus with bust of Florian,http://numismatics.org/ocre/id/ric.5.fl.15,
162365,Denarius with head of Lucius Verus,http://numismatics.org/ocre/id/ric.3.m_aur.540,
162519,Antoninianus with bust of Numerian,http://numismatics.org/ocre/id/ric.5.car.447,
226800,Denarius with head of Augustus,http://numismatics.org/ocre/id/ric.1(2).aug.208,
162073,Denarius with head of Tiberius,http://numismatics.org/ocre/id/ric.1(2).tib.30,
226801,Solidus with bust of Honorius,http://numismatics.org/ocre/id/ric.10.hon_w.1287,
162245,"Denarius with bust of Sabina, struck under Hadrian",http://numismatics.org/ocre/id/ric.2.hdn.396,
226804,Denarius with head of Galba,http://numismatics.org/ocre/id/ric.1(2).gal.120,
226805,"Follis with bust of Licinius II, struck under Licinius I",http://numismatics.org/ocre/id/ric.7.anch.36,
226808,Denarius with bust of Gordian III,http://numismatics.org/ocre/id/ric.4.gor_iii.111,
226813,Denarius (fourré) with head of Claudius,http://numismatics.org/ocre/id/ric.1(2).cl.62,
226821,"As with bust of Julia Mamaea, struck under Severus Alexander",http://numismatics.org/ocre/id/ric.4.sa.669,
226826,"Antoninianus with bust of Severina, struck under Aurelian",http://numismatics.org/ocre/id/ric.5.seva.9,
226829,"Centenionalis with bust of Decentius, struck under Magnentius",http://numismatics.org/ocre/id/ric.8.lug.171,
162085,"As with head of Agrippa, struck under Gaius (Caligula)",http://numismatics.org/ocre/id/ric.1(2).gai.58,
162363,"Denarius with bust of Faustina II, struck under Marcus Aurelius",http://numismatics.org/ocre/id/ric.3.m_aur.676,
162178,Denarius with head of Nerva,http://numismatics.org/ocre/id/ric.2.ner.28_denarius,
162234,Denarius with head of Hadrian,http://numismatics.org/ocre/id/ric.2.hdn.173d,
162303,Aureus with bust of Antoninus Pius,http://numismatics.org/ocre/id/ric.3.ant.233C,
226843,Denarius with head of Commodus,http://numismatics.org/ocre/id/ric.3.com.237,
226846,As with head of Marcus Aurelius,http://numismatics.org/ocre/id/ric.3.m_aur.976,
226858,"Quadrans with bust of Hercules, struck under Trajan",http://numismatics.org/ocre/id/ric.2.tr.702,
162445,Denarius with bust of Severus Alexander,http://numismatics.org/ocre/id/ric.4.sa.64,
229999,Follis with head of Maximian I Herculius,http://numismatics.org/ocre/id/ric.6.tic.45b,
229997,"Coin with head of Romulus, struck under Maxentius",http://numismatics.org/ocre/id/ric.6.rom.239,
229988,"Antoninianus with bust of Carinus, struck under Carus",http://numismatics.org/ocre/id/ric.5.car.177,
161970,"Quadrans with head of Hercules, struck under Cn. Domitius (Calvinus or Ahenobarbus?)",http://numismatics.org/crro/id/rrc-261.4,
227173,"Denarius with head of Roma, struck under L. Flaminius Cilo",http://numismatics.org/crro/id/rrc-302.1,
227175,"As with head of Augustus, struck under P. Lurius Agrippa",http://numismatics.org/ocre/id/ric.1(2).aug.427,
227178,"Denarius with head of Roma, struck under P. Maenius Antiaticus",http://numismatics.org/crro/id/rrc-249.1,
227188,Denarius with head of Vespasian,http://numismatics.org/ocre/id/ric.2_1(2).ves.546,
227191,"Denarius with bust of Julia Domna, struck under Caracalla",http://numismatics.org/ocre/id/ric.4.crl.373A,
226988,"Denarius with bust of Lucilla, struck under Marcus Aurelius",http://numismatics.org/ocre/id/ric.3.m_aur.758,
226990,"Denarius with bust of Sabina, struck under Hadrian",http://numismatics.org/ocre/id/ric.2.hdn.395A,
226996,Denarius with bust of Caracalla,http://numismatics.org/ocre/id/ric.4.crl.30b,
227004,Denarius with head of Vitellius,http://numismatics.org/ocre/id/ric.1(2).vit.90,
227007,Denarius with bust of Severus Alexander,http://numismatics.org/ocre/id/ric.4.sa.226b,
227008,"Denarius with bust of Geta, struck under Septimius Severus",http://numismatics.org/ocre/id/ric.4.ge.18,
227010,Denarius with head of Geta,http://numismatics.org/ocre/id/ric.4.ge.77,
227012,Denarius with bust of Elagabalus,http://numismatics.org/ocre/id/ric.4.el.128b,
227014,Denarius with head of Septimius Severus,http://numismatics.org/ocre/id/ric.4.ss.142A,
227015,"Denarius with bust of Julia Mamaea, struck under Severus Alexander",http://numismatics.org/ocre/id/ric.4.sa.351,
227016,Denarius with bust of Maximinus I Thrax,http://numismatics.org/ocre/id/ric.4.max_i.13_denarius,
227017,Antoninianus with bust of Gordian III,http://numismatics.org/ocre/id/ric.4.gor_iii.114,
227018,Denarius with bust of Gordian III,http://numismatics.org/ocre/id/ric.4.gor_iii.114,
227019,"Antoninianus with bust of Salonina, struck under Valerian I and Gallienus",http://numismatics.org/ocre/id/ric.5.sala(1).9,
227021,Antoninianus with bust of Philip I,http://numismatics.org/ocre/id/ric.4.ph_i.44B,
227023,Antoninianus of Gallic Empire with bust of Postumus,http://numismatics.org/ocre/id/ric.5.post.75,
227024,Antoninianus with bust of Tacitus,http://numismatics.org/ocre/id/ric.5.tac.89,
227027,Antoninianus with bust of Trebonianus Gallus,http://numismatics.org/ocre/id/ric.4.tr_g.55,
227028,Antoninianus with bust of Probus,http://numismatics.org/ocre/id/ric.5.pro.106,
227029,"Antoninianus with bust of Numerian, struck under Carus",http://numismatics.org/ocre/id/ric.5.car.360,
227030,Antoninianus with bust of Diocletian,http://numismatics.org/ocre/id/ric.5.dio.34,
227196,Follis with bust of Constantine I,http://numismatics.org/ocre/id/ric.7.tic.82,
227201,Follis with bust of Constantine I,http://numismatics.org/ocre/id/ric.7.lug.125,
227209,Follis with bust of Licinius I,http://numismatics.org/ocre/id/ric.6.thes.58,
227140,"Denarius with head of Ancus Marcius, struck under L. Marcius Philippus",http://numismatics.org/crro/id/rrc-425.1,
227141,"Denarius with head of Apollo, struck under A. Postumius Albinus, L. Metellus, and C. Poblicius Malleolus",http://numismatics.org/crro/id/rrc-335.1b,
227142,"Denarius with head of Genius Populi Romani, struck under Q. Cassius Longinus",http://numismatics.org/crro/id/rrc-428.3,
227143,"Denarius with head of Tatius, struck under L. Titurius Sabinus",http://numismatics.org/crro/id/rrc-344.2b,
227144,"Denarius with head of Jupiter, struck under M. Volteius",http://numismatics.org/crro/id/rrc-385.1,
